================ Training Loss (Tue Jun 23 10:50:23 2026) ================
(epoch: 310, iters: 1, time: 0.044) lr_pixelwise: 188612.891 rec: 319561.469 rec_orthg: 30704.119 msi_pixelwise: 130948.578 manifold: 47.434 manifold_spa: 5655.027 msi_ss_msi: 122442.195 msi_ss_lr: 33771.168 lrmsi_pixelwise: 1691.547 joint: 366056.094 
(epoch: 320, iters: 1, time: 0.036) lr_pixelwise: 188475.844 rec: 319543.188 rec_orthg: 30747.691 msi_pixelwise: 131067.328 manifold: 50.116 manifold_spa: 5831.543 msi_ss_msi: 113985.938 msi_ss_lr: 33871.941 lrmsi_pixelwise: 1923.729 joint: 365269.031 
(epoch: 330, iters: 1, time: 0.037) lr_pixelwise: 188318.719 rec: 319446.906 rec_orthg: 29858.582 msi_pixelwise: 131128.188 manifold: 52.636 manifold_spa: 5991.680 msi_ss_msi: 113015.938 msi_ss_lr: 33664.148 lrmsi_pixelwise: 1992.611 joint: 364172.781 
(epoch: 340, iters: 1, time: 0.037) lr_pixelwise: 188483.375 rec: 319477.625 rec_orthg: 30058.486 msi_pixelwise: 130994.250 manifold: 54.348 manifold_spa: 6132.136 msi_ss_msi: 122619.102 msi_ss_lr: 33433.359 lrmsi_pixelwise: 1883.906 joint: 365329.750 
(epoch: 350, iters: 1, time: 0.038) lr_pixelwise: 187415.156 rec: 318458.812 rec_orthg: 28995.775 msi_pixelwise: 131043.672 manifold: 55.587 manifold_spa: 6287.803 msi_ss_msi: 112855.812 msi_ss_lr: 33365.258 lrmsi_pixelwise: 1861.351 joint: 362262.844 
(epoch: 360, iters: 1, time: 0.039) lr_pixelwise: 186477.141 rec: 317582.000 rec_orthg: 29063.387 msi_pixelwise: 131104.844 manifold: 56.554 manifold_spa: 6441.413 msi_ss_msi: 112904.594 msi_ss_lr: 33466.227 lrmsi_pixelwise: 3262.077 joint: 361608.656 
(epoch: 370, iters: 1, time: 0.037) lr_pixelwise: 186465.750 rec: 317591.625 rec_orthg: 28331.969 msi_pixelwise: 131125.859 manifold: 57.349 manifold_spa: 6568.467 msi_ss_msi: 114979.836 msi_ss_lr: 33645.742 lrmsi_pixelwise: 2220.508 joint: 361008.188 
(epoch: 380, iters: 1, time: 0.037) lr_pixelwise: 186343.219 rec: 317500.688 rec_orthg: 28338.570 msi_pixelwise: 131157.469 manifold: 58.136 manifold_spa: 6696.542 msi_ss_msi: 114444.078 msi_ss_lr: 33508.609 lrmsi_pixelwise: 2062.553 joint: 360840.781 
(epoch: 390, iters: 1, time: 0.037) lr_pixelwise: 186594.422 rec: 317656.094 rec_orthg: 28083.648 msi_pixelwise: 131061.672 manifold: 58.788 manifold_spa: 6837.995 msi_ss_msi: 113138.547 msi_ss_lr: 33595.367 lrmsi_pixelwise: 2185.272 joint: 360631.656 
(epoch: 400, iters: 1, time: 0.038) lr_pixelwise: 187532.641 rec: 318557.719 rec_orthg: 27319.219 msi_pixelwise: 131025.070 manifold: 59.480 manifold_spa: 6962.794 msi_ss_msi: 122066.352 msi_ss_lr: 33741.297 lrmsi_pixelwise: 2170.867 joint: 361674.781 
(epoch: 410, iters: 1, time: 0.038) lr_pixelwise: 187514.438 rec: 318527.562 rec_orthg: 27255.027 msi_pixelwise: 131013.133 manifold: 60.130 manifold_spa: 7098.033 msi_ss_msi: 114062.188 msi_ss_lr: 33678.773 lrmsi_pixelwise: 2685.627 joint: 360825.250 
