================ Training Loss (Tue Jun 23 11:14:47 2026) ================
(epoch: 310, iters: 1, time: 0.040) lr_pixelwise: 46836.480 rec: 79022.211 rec_orthg: 30238.234 msi_pixelwise: 32185.730 manifold: 37.981 manifold_spa: 4364.479 msi_ss_msi: 20781.766 msi_ss_lr: 27958.406 lrmsi_pixelwise: 800.592 joint: 114258.211 
(epoch: 320, iters: 1, time: 0.045) lr_pixelwise: 46715.523 rec: 78774.211 rec_orthg: 30072.037 msi_pixelwise: 32058.688 manifold: 38.286 manifold_spa: 4440.050 msi_ss_msi: 22579.488 msi_ss_lr: 28013.510 lrmsi_pixelwise: 843.679 joint: 114034.359 
(epoch: 330, iters: 1, time: 0.034) lr_pixelwise: 46687.695 rec: 78733.836 rec_orthg: 31250.646 msi_pixelwise: 32046.141 manifold: 38.564 manifold_spa: 4529.161 msi_ss_msi: 22820.832 msi_ss_lr: 28083.078 lrmsi_pixelwise: 885.583 joint: 115208.766 
(epoch: 340, iters: 1, time: 0.037) lr_pixelwise: 46603.297 rec: 78636.711 rec_orthg: 29597.387 msi_pixelwise: 32033.412 manifold: 38.863 manifold_spa: 4613.050 msi_ss_msi: 20882.133 msi_ss_lr: 28000.639 lrmsi_pixelwise: 861.205 joint: 113254.664 
(epoch: 350, iters: 1, time: 0.036) lr_pixelwise: 46575.727 rec: 78602.219 rec_orthg: 28949.309 msi_pixelwise: 32026.496 manifold: 39.103 manifold_spa: 4710.942 msi_ss_msi: 20477.902 msi_ss_lr: 28071.041 lrmsi_pixelwise: 893.403 joint: 112542.914 
(epoch: 360, iters: 1, time: 0.037) lr_pixelwise: 46638.766 rec: 78641.984 rec_orthg: 29415.105 msi_pixelwise: 32003.215 manifold: 39.486 manifold_spa: 4808.956 msi_ss_msi: 20787.219 msi_ss_lr: 28301.908 lrmsi_pixelwise: 835.183 joint: 113097.648 
(epoch: 370, iters: 1, time: 0.035) lr_pixelwise: 46496.609 rec: 78495.859 rec_orthg: 30452.406 msi_pixelwise: 31999.254 manifold: 39.881 manifold_spa: 4919.762 msi_ss_msi: 20326.035 msi_ss_lr: 28049.645 lrmsi_pixelwise: 831.585 joint: 113918.227 
(epoch: 380, iters: 1, time: 0.036) lr_pixelwise: 46382.727 rec: 78367.578 rec_orthg: 28877.605 msi_pixelwise: 31984.850 manifold: 40.340 manifold_spa: 5029.245 msi_ss_msi: 20227.844 msi_ss_lr: 28013.131 lrmsi_pixelwise: 823.135 joint: 112201.930 
(epoch: 390, iters: 1, time: 0.040) lr_pixelwise: 46326.602 rec: 78317.602 rec_orthg: 28088.902 msi_pixelwise: 31990.998 manifold: 40.617 manifold_spa: 5142.166 msi_ss_msi: 20388.365 msi_ss_lr: 27988.209 lrmsi_pixelwise: 812.318 joint: 111376.852 
(epoch: 400, iters: 1, time: 0.045) lr_pixelwise: 46368.758 rec: 78437.641 rec_orthg: 27958.340 msi_pixelwise: 32068.883 manifold: 40.861 manifold_spa: 5265.101 msi_ss_msi: 19689.648 msi_ss_lr: 28083.922 lrmsi_pixelwise: 763.471 joint: 111302.375 
(epoch: 410, iters: 1, time: 0.046) lr_pixelwise: 46317.766 rec: 78329.375 rec_orthg: 27498.699 msi_pixelwise: 32011.609 manifold: 41.039 manifold_spa: 5373.096 msi_ss_msi: 20516.436 msi_ss_lr: 28120.949 lrmsi_pixelwise: 838.776 joint: 110829.469 
(epoch: 420, iters: 1, time: 0.043) lr_pixelwise: 46203.910 rec: 78184.680 rec_orthg: 27289.801 msi_pixelwise: 31980.770 manifold: 41.241 manifold_spa: 5492.759 msi_ss_msi: 20192.789 msi_ss_lr: 27976.172 lrmsi_pixelwise: 836.484 joint: 110430.000 
(epoch: 430, iters: 1, time: 0.042) lr_pixelwise: 46235.828 rec: 78284.141 rec_orthg: 27486.480 msi_pixelwise: 32048.311 manifold: 41.409 manifold_spa: 5623.158 msi_ss_msi: 20178.898 msi_ss_lr: 27991.395 lrmsi_pixelwise: 831.861 joint: 110727.117 
(epoch: 440, iters: 1, time: 0.044) lr_pixelwise: 46112.637 rec: 78075.789 rec_orthg: 26985.625 msi_pixelwise: 31963.154 manifold: 41.561 manifold_spa: 5734.879 msi_ss_msi: 20241.965 msi_ss_lr: 27856.760 lrmsi_pixelwise: 825.218 joint: 110011.203 
(epoch: 450, iters: 1, time: 0.043) lr_pixelwise: 45933.223 rec: 77778.680 rec_orthg: 26630.008 msi_pixelwise: 31845.457 manifold: 41.771 manifold_spa: 5864.588 msi_ss_msi: 19880.777 msi_ss_lr: 27587.820 lrmsi_pixelwise: 827.524 joint: 109296.984 
(epoch: 460, iters: 1, time: 0.044) lr_pixelwise: 45835.340 rec: 77615.875 rec_orthg: 26735.387 msi_pixelwise: 31780.535 manifold: 41.996 manifold_spa: 5980.400 msi_ss_msi: 19775.254 msi_ss_lr: 27459.797 lrmsi_pixelwise: 831.272 joint: 109217.742 
